R_Priority,Weights,Data weightage %,Severity of defects,Complexity,Time,Cost,Number of defects linked,Test_Case,Sprint,Execution Status
M,1,40,3,5,2.5,87.5,25,T-mis-1386, Sprint 2,P
M,1,40,3,5,2.5,87.5,25,T-mis-1386, Sprint 3,F
M,1,40,3,5,2.5,87.5,25,T-mis-1386, Sprint 4,P
M,1,40,3,5,2.5,87.5,25,T-mis-1387,Sprint 1,P
M,1,40,3,5,2.5,87.5,25,T-mis-1387, Sprint 2,P
M,1,40,3,5,2.5,87.5,25,T-mis-1387, Sprint 3,F
M,1,40,3,5,2.5,87.5,25,T-mis-1387, Sprint 4,P
M,1,40,3,3,4,84,15,T-mis-1388,Sprint 1,F
M,1,40,3,3,4,84,15,T-mis-1388, Sprint 2,P
M,1,40,3,3,4,84,15,T-mis-1388, Sprint 3,P
M,1,40,3,3,4,84,15,T-mis-1388, Sprint 4,P
M,1,40,2,5,4,140,25,T-mis-1389,Sprint 1,P
M,1,40,2,5,4,140,25,T-mis-1389, Sprint 2,F
M,1,40,2,5,4,140,25,T-mis-1389, Sprint 3,P
M,1,40,2,5,4,140,25,T-mis-1389, Sprint 4,F
M,1,40,3,3,4,84,15,T-mis-1390,Sprint 1,F
M,1,40,3,3,4,84,15,T-mis-1390, Sprint 2,P
M,1,40,3,3,4,84,15,T-mis-1390, Sprint 3,P
M,1,40,3,3,4,84,15,T-mis-1390, Sprint 4,P
M,1,40,3,3,4,84,15,T-mis-1391,Sprint 1,F
M,1,40,3,3,4,84,15,T-mis-1391, Sprint 2,P
M,1,40,3,3,4,84,15,T-mis-1391, Sprint 3,P
M,1,40,3,3,4,84,15,T-mis-1391, Sprint 4,P
M,1,40,3,3,4,84,15,T-mis-1392,Sprint 1,F
M,1,40,3,3,4,84,15,T-mis-1392, Sprint 2,P
M,1,40,3,3,4,84,15,T-mis-1392, Sprint 3,P
M,1,40,3,3,4,84,15,T-mis-1392, Sprint 4,P
M,1,40,2,5,5,175,25,T-mis-1393,Sprint 1,P
M,1,40,2,5,5,175,25,T-mis-1393, Sprint 2,F
M,1,40,2,5,5,175,25,T-mis-1393, Sprint 3,F
M,1,40,2,5,5,175,25,T-mis-1393, Sprint 4,P
M,1,40,2,5,5,175,25,T-mis-1394,Sprint 1,P
M,1,40,2,5,5,175,25,T-mis-1394, Sprint 2,F
M,1,40,2,5,5,175,25,T-mis-1394, Sprint 3,F
M,1,40,2,5,5,175,25,T-mis-1394, Sprint 4,P
M,1,40,2,5,5,175,25,T-mis-1395,Sprint 1,P
M,1,40,2,5,5,175,25,T-mis-1395, Sprint 2,F
M,1,40,2,5,5,175,25,T-mis-1395, Sprint 3,F
M,1,40,2,5,5,175,25,T-mis-1395, Sprint 4,P
M,1,40,2,5,5,175,25,T-mis-1396,Sprint 1,P
M,1,40,2,5,5,175,25,T-mis-1396, Sprint 2,F
M,1,40,2,5,5,175,25,T-mis-1396, Sprint 3,F
M,1,40,2,5,5,175,25,T-mis-1396, Sprint 4,P
M,1,40,3,5,1.5,52.5,25,T-mis-1397,Sprint 1,P
M,1,40,3,5,1.5,52.5,25,T-mis-1397, Sprint 2,P
M,1,40,3,5,1.5,52.5,25,T-mis-1397, Sprint 3,F
M,1,40,3,5,1.5,52.5,25,T-mis-1397, Sprint 4,P
M,1,40,1,3,4,84,15,T-mis-1398,Sprint 1,F
M,1,40,1,3,4,84,15,T-mis-1398, Sprint 2,F
M,1,40,1,3,4,84,15,T-mis-1398, Sprint 3,F
M,1,40,1,3,4,84,15,T-mis-1398, Sprint 4,F
M,1,40,1,3,4,84,15,T-mis-1399,Sprint 1,F
M,1,40,1,3,4,84,15,T-mis-1399, Sprint 2,F
M,1,40,1,3,4,84,15,T-mis-1399, Sprint 3,F
M,1,40,1,3,4,84,15,T-mis-1399, Sprint 4,F
M,1,40,1,3,4,84,15,T-mis-1400,Sprint 1,F
M,1,40,1,3,4,84,15,T-mis-1400, Sprint 2,F
M,1,40,1,3,4,84,15,T-mis-1400, Sprint 3,F
M,1,40,1,3,4,84,15,T-mis-1400, Sprint 4,F
M,1,40,2,1,2,14,5,T-mis-1401,Sprint 1,F
M,1,40,2,1,2,14,5,T-mis-1401, Sprint 2,F
M,1,40,2,1,2,14,5,T-mis-1401, Sprint 3,P
M,1,40,2,1,2,14,5,T-mis-1401, Sprint 4,P
M,1,40,2,3,4,84,15,T-mis-1402,Sprint 1,P
M,1,40,2,3,4,84,15,T-mis-1402, Sprint 2,F
M,1,40,2,3,4,84,15,T-mis-1402, Sprint 3,P
M,1,40,2,3,4,84,15,T-mis-1402, Sprint 4,F
M,1,40,2,3,4,84,15,T-mis-1403,Sprint 1,P
M,1,40,2,3,4,84,15,T-mis-1403, Sprint 2,F
M,1,40,2,3,4,84,15,T-mis-1403, Sprint 3,P
M,1,40,2,3,4,84,15,T-mis-1403, Sprint 4,F
M,1,40,2,3,4,84,15,T-mis-1404,Sprint 1,P
M,1,40,2,3,4,84,15,T-mis-1404, Sprint 2,F
M,1,40,2,3,4,84,15,T-mis-1404, Sprint 3,P
M,1,40,2,3,4,84,15,T-mis-1404, Sprint 4,F
M,1,40,2,3,4,84,15,T-mis-1405,Sprint 1,P
M,1,40,2,3,4,84,15,T-mis-1405, Sprint 2,F
M,1,40,2,3,4,84,15,T-mis-1405, Sprint 3,P
M,1,40,2,3,4,84,15,T-mis-1405, Sprint 4,F
M,1,40,1,5,4,140,25,T-mis-1406,Sprint 1,F
M,1,40,1,5,4,140,25,T-mis-1406, Sprint 2,F
M,1,40,1,5,4,140,25,T-mis-1406, Sprint 3,F
M,1,40,1,5,4,140,25,T-mis-1406, Sprint 4,P
M,1,40,1,5,4,140,25,T-mis-1407,Sprint 1,F
M,1,40,1,5,4,140,25,T-mis-1407, Sprint 2,F
M,1,40,1,5,4,140,25,T-mis-1407, Sprint 3,F
M,1,40,1,5,4,140,25,T-mis-1407, Sprint 4,P
M,1,40,3,5,4,140,25,T-mis-1408,Sprint 1,F
M,1,40,3,5,4,140,25,T-mis-1408, Sprint 2,P
M,1,40,3,5,4,140,25,T-mis-1408, Sprint 3,P
M,1,40,3,5,4,140,25,T-mis-1408, Sprint 4,P
M,1,40,3,5,4,140,25,T-mis-1409,Sprint 1,F
M,1,40,3,5,4,140,25,T-mis-1409, Sprint 2,P
M,1,40,3,5,4,140,25,T-mis-1409, Sprint 3,P
M,1,40,3,5,4,140,25,T-mis-1409, Sprint 4,P
M,1,40,3,5,4,140,25,T-mis-1410,Sprint 1,F
M,1,40,3,5,4,140,25,T-mis-1410, Sprint 2,P
M,1,40,3,5,4,140,25,T-mis-1410, Sprint 3,P
M,1,40,3,5,4,140,25,T-mis-1410, Sprint 4,P
M,1,40,1,3,2.5,52.5,15,T-mis-1411,Sprint 1,F
M,1,40,1,3,2.5,52.5,15,T-mis-1411, Sprint 2,P
M,1,40,1,3,2.5,52.5,15,T-mis-1411, Sprint 3,F
M,1,40,1,3,2.5,52.5,15,T-mis-1411, Sprint 4,F
M,1,40,1,3,2.5,52.5,15,T-mis-1412,Sprint 1,F
M,1,40,1,3,2.5,52.5,15,T-mis-1412, Sprint 2,P
M,1,40,1,3,2.5,52.5,15,T-mis-1412, Sprint 3,F
M,1,40,1,3,2.5,52.5,15,T-mis-1412, Sprint 4,F
M,1,40,2,5,1.5,52.5,25,T-mis-1413,Sprint 1,P
M,1,40,2,5,1.5,52.5,25,T-mis-1413, Sprint 2,F
M,1,40,2,5,1.5,52.5,25,T-mis-1413, Sprint 3,P
M,1,40,2,5,1.5,52.5,25,T-mis-1413, Sprint 4,F
M,1,40,1,1,4,28,5,T-mis-1414,Sprint 1,F
M,1,40,1,1,4,28,5,T-mis-1414, Sprint 2,F
M,1,40,1,1,4,28,5,T-mis-1414, Sprint 3,F
M,1,40,1,1,4,28,5,T-mis-1414, Sprint 4,P
M,1,40,1,1,4,28,5,T-mis-1415,Sprint 1,F
M,1,40,1,1,4,28,5,T-mis-1415, Sprint 2,F
M,1,40,1,1,4,28,5,T-mis-1415, Sprint 3,F
M,1,40,1,1,4,28,5,T-mis-1415, Sprint 4,P
M,1,40,1,1,4,28,5,T-mis-1416,Sprint 1,F
M,1,40,1,1,4,28,5,T-mis-1416, Sprint 2,F
M,1,40,1,1,4,28,5,T-mis-1416, Sprint 3,F
M,1,40,1,1,4,28,5,T-mis-1416, Sprint 4,P
M,1,40,1,5,1.5,52.5,25,T-mis-1417,Sprint 1,F
M,1,40,1,5,1.5,52.5,25,T-mis-1417, Sprint 2,F
M,1,40,1,5,1.5,52.5,25,T-mis-1417, Sprint 3,F
M,1,40,1,5,1.5,52.5,25,T-mis-1417, Sprint 4,F
M,1,40,1,1,4.5,31.5,5,T-mis-1418,Sprint 1,F
M,1,40,1,1,4.5,31.5,5,T-mis-1418, Sprint 2,P
M,1,40,1,1,4.5,31.5,5,T-mis-1418, Sprint 3,F
M,1,40,1,1,4.5,31.5,5,T-mis-1418, Sprint 4,F
M,1,40,1,1,4.5,31.5,5,T-mis-1419,Sprint 1,F
M,1,40,1,1,4.5,31.5,5,T-mis-1419, Sprint 2,P
M,1,40,1,1,4.5,31.5,5,T-mis-1419, Sprint 3,F
M,1,40,1,1,4.5,31.5,5,T-mis-1419, Sprint 4,F
M,1,40,1,1,4.5,31.5,5,T-mis-1420,Sprint 1,F
M,1,40,1,1,4.5,31.5,5,T-mis-1420, Sprint 2,P
M,1,40,1,1,4.5,31.5,5,T-mis-1420, Sprint 3,F
M,1,40,1,1,4.5,31.5,5,T-mis-1420, Sprint 4,F
M,1,40,1,1,4.5,31.5,5,T-mis-1421,Sprint 1,F
M,1,40,1,1,4.5,31.5,5,T-mis-1421, Sprint 2,P
M,1,40,1,1,4.5,31.5,5,T-mis-1421, Sprint 3,F
M,1,40,1,1,4.5,31.5,5,T-mis-1421, Sprint 4,F
M,1,40,3,1,2.5,17.5,5,T-mis-1422,Sprint 1,P
M,1,40,3,1,2.5,17.5,5,T-mis-1422, Sprint 2,P
M,1,40,3,1,2.5,17.5,5,T-mis-1422, Sprint 3,P
M,1,40,3,1,2.5,17.5,5,T-mis-1422, Sprint 4,F
M,1,40,3,1,2.5,17.5,5,T-mis-1423,Sprint 1,P
M,1,40,3,1,2.5,17.5,5,T-mis-1423, Sprint 2,P
M,1,40,3,1,2.5,17.5,5,T-mis-1423, Sprint 3,P
M,1,40,3,1,2.5,17.5,5,T-mis-1423, Sprint 4,F
M,1,40,2,3,4,84,15,T-mis-1424,Sprint 1,F
M,1,40,2,3,4,84,15,T-mis-1424, Sprint 2,F
M,1,40,2,3,4,84,15,T-mis-1424, Sprint 3,P
M,1,40,2,3,4,84,15,T-mis-1424, Sprint 4,P
M,1,40,2,3,4,84,15,T-mis-1425,Sprint 1,F
M,1,40,2,3,4,84,15,T-mis-1425, Sprint 2,F
M,1,40,2,3,4,84,15,T-mis-1425, Sprint 3,P
M,1,40,2,3,4,84,15,T-mis-1425, Sprint 4,P
M,1,40,2,5,5,175,25,T-mis-1426,Sprint 1,F
M,1,40,2,5,5,175,25,T-mis-1426, Sprint 2,P
M,1,40,2,5,5,175,25,T-mis-1426, Sprint 3,F
M,1,40,2,5,5,175,25,T-mis-1426, Sprint 4,P
M,1,40,2,5,5,175,25,T-mis-1427,Sprint 1,F
M,1,40,2,5,5,175,25,T-mis-1427, Sprint 2,P
M,1,40,2,5,5,175,25,T-mis-1427, Sprint 3,F
M,1,40,2,5,5,175,25,T-mis-1427, Sprint 4,P
M,1,40,2,5,5,175,25,T-mis-1428,Sprint 1,F
M,1,40,2,5,5,175,25,T-mis-1428, Sprint 2,F
M,1,40,2,5,5,175,25,T-mis-1428, Sprint 3,P
M,1,40,2,5,5,175,25,T-mis-1428, Sprint 4,P
M,1,40,2,5,5,175,25,T-mis-1429,Sprint 1,F
M,1,40,2,5,5,175,25,T-mis-1429, Sprint 2,F
M,1,40,2,5,5,175,25,T-mis-1429, Sprint 3,P
M,1,40,2,5,5,175,25,T-mis-1429, Sprint 4,P
M,1,40,1,1,1,7,5,T-mis-1430,Sprint 1,F
M,1,40,1,1,1,7,5,T-mis-1430, Sprint 2,F
M,1,40,1,1,1,7,5,T-mis-1430, Sprint 3,F
M,1,40,1,1,1,7,5,T-mis-1430, Sprint 4,P
M,1,40,3,1,5,35,5,T-mis-1431,Sprint 1,P
M,1,40,3,1,5,35,5,T-mis-1431, Sprint 2,F
M,1,40,3,1,5,35,5,T-mis-1431, Sprint 3,P
M,1,40,3,1,5,35,5,T-mis-1431, Sprint 4,P
M,1,40,3,1,5,35,5,T-mis-1432,Sprint 1,P
M,1,40,3,1,5,35,5,T-mis-1432, Sprint 2,F
M,1,40,3,1,5,35,5,T-mis-1432, Sprint 3,P
M,1,40,3,1,5,35,5,T-mis-1432, Sprint 4,P
M,1,40,3,1,5,35,5,T-mis-1433,Sprint 1,P
M,1,40,3,1,5,35,5,T-mis-1433, Sprint 2,F
M,1,40,3,1,5,35,5,T-mis-1433, Sprint 3,P
M,1,40,3,1,5,35,5,T-mis-1433, Sprint 4,P
M,1,40,2,5,4,140,25,T-mis-1434,Sprint 1,P
M,1,40,2,5,4,140,25,T-mis-1434, Sprint 2,F
M,1,40,2,5,4,140,25,T-mis-1434, Sprint 3,F
M,1,40,2,5,4,140,25,T-mis-1434, Sprint 4,P
M,1,40,2,5,4,140,25,T-mis-1435,Sprint 1,P
M,1,40,2,5,4,140,25,T-mis-1435, Sprint 2,F
M,1,40,2,5,4,140,25,T-mis-1435, Sprint 3,F
M,1,40,2,5,4,140,25,T-mis-1435, Sprint 4,P
M,1,40,2,5,4,140,25,T-mis-1436,Sprint 1,P
M,1,40,2,5,4,140,25,T-mis-1436, Sprint 2,F
M,1,40,2,5,4,140,25,T-mis-1436, Sprint 3,F
M,1,40,2,5,4,140,25,T-mis-1436, Sprint 4,P
M,1,40,3,5,1,35,25,T-mis-1437,Sprint 1,P
M,1,40,3,5,1,35,25,T-mis-1437, Sprint 2,F
M,1,40,3,5,1,35,25,T-mis-1437, Sprint 3,P
M,1,40,3,5,1,35,25,T-mis-1437, Sprint 4,P
M,1,40,1,5,4,140,25,T-mis-1438,Sprint 1,F
M,1,40,1,5,4,140,25,T-mis-1438, Sprint 2,F
M,1,40,1,5,4,140,25,T-mis-1438, Sprint 3,F
M,1,40,1,5,4,140,25,T-mis-1438, Sprint 4,F
M,1,40,1,5,4,140,25,T-mis-1439,Sprint 1,F
M,1,40,1,5,4,140,25,T-mis-1439, Sprint 2,F
M,1,40,1,5,4,140,25,T-mis-1439, Sprint 3,F
M,1,40,1,5,4,140,25,T-mis-1439, Sprint 4,F
M,1,40,1,5,4,140,25,T-mis-1440,Sprint 1,F
M,1,40,1,5,4,140,25,T-mis-1440, Sprint 2,F
M,1,40,1,5,4,140,25,T-mis-1440, Sprint 3,F
M,1,40,1,5,4,140,25,T-mis-1440, Sprint 4,F
M,1,40,2,1,2.5,17.5,5,T-mis-1441,Sprint 1,F
M,1,40,2,1,2.5,17.5,5,T-mis-1441, Sprint 2,F
M,1,40,2,1,2.5,17.5,5,T-mis-1441, Sprint 3,P
M,1,40,2,1,2.5,17.5,5,T-mis-1441, Sprint 4,P
M,1,40,2,1,2.5,17.5,5,T-mis-1442,Sprint 1,F
M,1,40,2,1,2.5,17.5,5,T-mis-1442, Sprint 2,F
M,1,40,2,1,2.5,17.5,5,T-mis-1442, Sprint 3,P
M,1,40,2,1,2.5,17.5,5,T-mis-1442, Sprint 4,P
M,1,40,2,1,2.5,17.5,5,T-mis-1443,Sprint 1,F
M,1,40,2,1,2.5,17.5,5,T-mis-1443, Sprint 2,F
M,1,40,2,1,2.5,17.5,5,T-mis-1443, Sprint 3,P
M,1,40,2,1,2.5,17.5,5,T-mis-1443, Sprint 4,P
M,1,40,3,1,5,35,5,T-mis-1444,Sprint 1,P
M,1,40,3,1,5,35,5,T-mis-1444, Sprint 2,P
M,1,40,3,1,5,35,5,T-mis-1444, Sprint 3,F
M,1,40,3,1,5,35,5,T-mis-1444, Sprint 4,P
M,1,40,3,1,5,35,5,T-mis-1445,Sprint 1,P
M,1,40,3,1,5,35,5,T-mis-1445, Sprint 2,P
M,1,40,3,1,5,35,5,T-mis-1445, Sprint 3,F
M,1,40,3,1,5,35,5,T-mis-1445, Sprint 4,P
M,1,40,3,1,5,35,5,T-mis-1446,Sprint 1,P
M,1,40,3,1,5,35,5,T-mis-1446, Sprint 2,P
M,1,40,3,1,5,35,5,T-mis-1446, Sprint 3,F
M,1,40,3,1,5,35,5,T-mis-1446, Sprint 4,P
M,1,40,3,1,5,35,5,T-mis-1447,Sprint 1,P
M,1,40,3,1,5,35,5,T-mis-1447, Sprint 2,P
M,1,40,3,1,5,35,5,T-mis-1447, Sprint 3,F
M,1,40,3,1,5,35,5,T-mis-1447, Sprint 4,P
M,1,40,1,3,2,42,15,T-mis-1448,Sprint 1,F
M,1,40,1,3,2,42,15,T-mis-1448, Sprint 2,P
M,1,40,1,3,2,42,15,T-mis-1448, Sprint 3,F
M,1,40,1,3,2,42,15,T-mis-1448, Sprint 4,F
M,1,40,1,3,2,42,15,T-mis-1449,Sprint 1,F
M,1,40,1,3,2,42,15,T-mis-1449, Sprint 2,P
M,1,40,1,3,2,42,15,T-mis-1449, Sprint 3,F
M,1,40,1,3,2,42,15,T-mis-1449, Sprint 4,F
M,1,40,3,5,2.5,87.5,25,T-mis-1450,Sprint 1,F
M,1,40,3,5,2.5,87.5,25,T-mis-1450, Sprint 2,P
M,1,40,3,5,2.5,87.5,25,T-mis-1450, Sprint 3,P
M,1,40,3,5,2.5,87.5,25,T-mis-1450, Sprint 4,P
M,1,40,3,5,2.5,87.5,25,T-mis-1451,Sprint 1,F
M,1,40,3,5,2.5,87.5,25,T-mis-1451, Sprint 2,P
M,1,40,3,5,2.5,87.5,25,T-mis-1451, Sprint 3,P
M,1,40,3,5,2.5,87.5,25,T-mis-1451, Sprint 4,P
M,1,40,3,5,2.5,87.5,25,T-mis-1452,Sprint 1,F
M,1,40,3,5,2.5,87.5,25,T-mis-1452, Sprint 2,P
M,1,40,3,5,2.5,87.5,25,T-mis-1452, Sprint 3,P
M,1,40,3,5,2.5,87.5,25,T-mis-1452, Sprint 4,P
M,1,40,3,5,2.5,87.5,25,T-mis-1453,Sprint 1,F
M,1,40,3,5,2.5,87.5,25,T-mis-1453, Sprint 2,P
M,1,40,3,5,2.5,87.5,25,T-mis-1453, Sprint 3,P
M,1,40,3,5,2.5,87.5,25,T-mis-1453, Sprint 4,P
M,1,40,2,5,4,140,25,T-mis-1454,Sprint 1,F
M,1,40,2,5,4,140,25,T-mis-1454, Sprint 2,P
M,1,40,2,5,4,140,25,T-mis-1454, Sprint 3,F
M,1,40,2,5,4,140,25,T-mis-1454, Sprint 4,P
M,1,40,2,5,4,140,25,T-mis-1455,Sprint 1,F
M,1,40,2,5,4,140,25,T-mis-1455, Sprint 2,P
M,1,40,2,5,4,140,25,T-mis-1455, Sprint 3,F
M,1,40,2,5,4,140,25,T-mis-1455, Sprint 4,P
M,1,40,2,5,4,140,25,T-mis-1456,Sprint 1,F
M,1,40,2,5,4,140,25,T-mis-1456, Sprint 2,P
M,1,40,2,5,4,140,25,T-mis-1456, Sprint 3,F
M,1,40,2,5,4,140,25,T-mis-1456, Sprint 4,P
M,1,40,2,1,1.5,10.5,5,T-mis-1457,Sprint 1,P
M,1,40,2,1,1.5,10.5,5,T-mis-1457, Sprint 2,F
M,1,40,2,1,1.5,10.5,5,T-mis-1457, Sprint 3,P
M,1,40,2,1,1.5,10.5,5,T-mis-1457, Sprint 4,F
M,1,40,2,3,5,105,15,T-mis-1458,Sprint 1,F
M,1,40,2,3,5,105,15,T-mis-1458, Sprint 2,F
M,1,40,2,3,5,105,15,T-mis-1458, Sprint 3,P
M,1,40,2,3,5,105,15,T-mis-1458, Sprint 4,P
M,1,40,2,3,5,105,15,T-mis-1459,Sprint 1,F
M,1,40,2,3,5,105,15,T-mis-1459, Sprint 2,F
M,1,40,2,3,5,105,15,T-mis-1459, Sprint 3,P
M,1,40,2,3,5,105,15,T-mis-1459, Sprint 4,P
M,1,40,2,3,5,105,15,T-mis-1460,Sprint 1,F
M,1,40,2,3,5,105,15,T-mis-1460, Sprint 2,F
M,1,40,2,3,5,105,15,T-mis-1460, Sprint 3,P
M,1,40,2,3,5,105,15,T-mis-1460, Sprint 4,P
M,1,40,2,3,4,84,15,T-mis-1461,Sprint 1,P
M,1,40,2,3,4,84,15,T-mis-1461, Sprint 2,P
M,1,40,2,3,4,84,15,T-mis-1461, Sprint 3,F
M,1,40,2,3,4,84,15,T-mis-1461, Sprint 4,F
M,1,40,2,3,4,84,15,T-mis-1462,Sprint 1,P
M,1,40,2,3,4,84,15,T-mis-1462, Sprint 2,P
M,1,40,2,3,4,84,15,T-mis-1462, Sprint 3,F
M,1,40,2,3,4,84,15,T-mis-1462, Sprint 4,F
M,1,40,1,3,2.5,52.5,15,T-mis-1463,Sprint 1,F
M,1,40,1,3,2.5,52.5,15,T-mis-1463, Sprint 2,F
M,1,40,1,3,2.5,52.5,15,T-mis-1463, Sprint 3,F
M,1,40,1,3,2.5,52.5,15,T-mis-1463, Sprint 4,P
M,1,40,1,3,2.5,52.5,15,T-mis-1464,Sprint 1,F
M,1,40,1,3,2.5,52.5,15,T-mis-1464, Sprint 2,F
M,1,40,1,3,2.5,52.5,15,T-mis-1464, Sprint 3,F
M,1,40,1,3,2.5,52.5,15,T-mis-1464, Sprint 4,P
M,1,40,3,5,2.5,87.5,25,T-mis-1465,Sprint 1,P
M,1,40,3,5,2.5,87.5,25,T-mis-1465, Sprint 2,F
M,1,40,3,5,2.5,87.5,25,T-mis-1465, Sprint 3,P
M,1,40,3,5,2.5,87.5,25,T-mis-1465, Sprint 4,P
M,1,40,3,5,2.5,87.5,25,T-mis-1466,Sprint 1,P
M,1,40,3,5,2.5,87.5,25,T-mis-1466, Sprint 2,F
M,1,40,3,5,2.5,87.5,25,T-mis-1466, Sprint 3,P
M,1,40,3,5,2.5,87.5,25,T-mis-1466, Sprint 4,P
M,1,40,3,5,2.5,87.5,25,T-mis-1467,Sprint 1,P
M,1,40,3,5,2.5,87.5,25,T-mis-1467, Sprint 2,F
M,1,40,3,5,2.5,87.5,25,T-mis-1467, Sprint 3,P
M,1,40,3,5,2.5,87.5,25,T-mis-1467, Sprint 4,P
M,1,40,3,3,4,84,15,T-mis-1468,Sprint 1,P
M,1,40,3,3,4,84,15,T-mis-1468, Sprint 2,P
M,1,40,3,3,4,84,15,T-mis-1468, Sprint 3,F
M,1,40,3,3,4,84,15,T-mis-1468, Sprint 4,P
M,1,40,3,3,4,84,15,T-mis-1469,Sprint 1,P
M,1,40,3,3,4,84,15,T-mis-1469, Sprint 2,P
M,1,40,3,3,4,84,15,T-mis-1469, Sprint 3,F
M,1,40,3,3,4,84,15,T-mis-1469, Sprint 4,P
M,1,40,3,3,4,84,15,T-mis-1470,Sprint 1,P
M,1,40,3,3,4,84,15,T-mis-1470, Sprint 2,P
M,1,40,3,3,4,84,15,T-mis-1470, Sprint 3,F
M,1,40,3,3,4,84,15,T-mis-1470, Sprint 4,P
M,1,40,3,3,4,84,15,T-mis-1471,Sprint 1,P
M,1,40,3,3,4,84,15,T-mis-1471, Sprint 2,P
M,1,40,3,3,4,84,15,T-mis-1471, Sprint 3,F
M,1,40,3,3,4,84,15,T-mis-1471, Sprint 4,P
M,1,40,3,1,2.5,17.5,5,T-mis-1472,Sprint 1,P
M,1,40,3,1,2.5,17.5,5,T-mis-1472, Sprint 2,P
M,1,40,3,1,2.5,17.5,5,T-mis-1472, Sprint 3,P
M,1,40,3,1,2.5,17.5,5,T-mis-1472, Sprint 4,F
M,1,40,3,1,2.5,17.5,5,T-mis-1473,Sprint 1,P
M,1,40,3,1,2.5,17.5,5,T-mis-1473, Sprint 2,P
M,1,40,3,1,2.5,17.5,5,T-mis-1473, Sprint 3,P
M,1,40,3,1,2.5,17.5,5,T-mis-1473, Sprint 4,F
M,1,40,3,1,2.5,17.5,5,T-mis-1474,Sprint 1,P
M,1,40,3,1,2.5,17.5,5,T-mis-1474, Sprint 2,P
M,1,40,3,1,2.5,17.5,5,T-mis-1474, Sprint 3,P
M,1,40,3,1,2.5,17.5,5,T-mis-1474, Sprint 4,F
M,1,40,3,1,2.5,17.5,5,T-mis-1475,Sprint 1,P
M,1,40,3,1,2.5,17.5,5,T-mis-1475, Sprint 2,P
M,1,40,3,1,2.5,17.5,5,T-mis-1475, Sprint 3,P
M,1,40,3,1,2.5,17.5,5,T-mis-1475, Sprint 4,F
M,1,40,3,5,4,140,25,T-mis-1476,Sprint 1,P
M,1,40,3,5,4,140,25,T-mis-1476, Sprint 2,P
M,1,40,3,5,4,140,25,T-mis-1476, Sprint 3,F
M,1,40,3,5,4,140,25,T-mis-1476, Sprint 4,P
M,1,40,3,5,4,140,25,T-mis-1477,Sprint 1,P
M,1,40,3,5,4,140,25,T-mis-1477, Sprint 2,P
M,1,40,3,5,4,140,25,T-mis-1477, Sprint 3,F
M,1,40,3,5,4,140,25,T-mis-1477, Sprint 4,P
M,1,40,3,5,4,140,25,T-mis-1478,Sprint 1,P
M,1,40,3,5,4,140,25,T-mis-1478, Sprint 2,P
M,1,40,3,5,4,140,25,T-mis-1478, Sprint 3,F
M,1,40,3,5,4,140,25,T-mis-1478, Sprint 4,P
M,1,40,3,5,4,140,25,T-mis-1479,Sprint 1,P
M,1,40,3,5,4,140,25,T-mis-1479, Sprint 2,P
M,1,40,3,5,4,140,25,T-mis-1479, Sprint 3,F
M,1,40,3,5,4,140,25,T-mis-1479, Sprint 4,P
M,1,40,1,1,5,35,5,T-mis-1480,Sprint 1,F
M,1,40,1,1,5,35,5,T-mis-1480, Sprint 2,F
M,1,40,1,1,5,35,5,T-mis-1480, Sprint 3,F
M,1,40,1,1,5,35,5,T-mis-1480, Sprint 4,P
M,1,40,1,1,5,35,5,T-mis-1481,Sprint 1,F
M,1,40,1,1,5,35,5,T-mis-1481, Sprint 2,F
M,1,40,1,1,5,35,5,T-mis-1481, Sprint 3,F
M,1,40,1,1,5,35,5,T-mis-1481, Sprint 4,P
M,1,40,1,1,5,35,5,T-mis-1482,Sprint 1,F
M,1,40,1,1,5,35,5,T-mis-1482, Sprint 2,F
M,1,40,1,1,5,35,5,T-mis-1482, Sprint 3,F
M,1,40,1,1,5,35,5,T-mis-1482, Sprint 4,P
M,1,40,1,1,5,35,5,T-mis-1483,Sprint 1,F
M,1,40,1,1,5,35,5,T-mis-1483, Sprint 2,F
M,1,40,1,1,5,35,5,T-mis-1483, Sprint 3,F
M,1,40,1,1,5,35,5,T-mis-1483, Sprint 4,P
M,1,40,1,1,2.5,17.5,5,T-mis-1484,Sprint 1,P
M,1,40,1,1,2.5,17.5,5,T-mis-1484, Sprint 2,F
M,1,40,1,1,2.5,17.5,5,T-mis-1484, Sprint 3,F
M,1,40,1,1,2.5,17.5,5,T-mis-1484, Sprint 4,F
M,1,40,1,1,2.5,17.5,5,T-mis-1485,Sprint 1,P
M,1,40,1,1,2.5,17.5,5,T-mis-1485, Sprint 2,F
M,1,40,1,1,2.5,17.5,5,T-mis-1485, Sprint 3,F
M,1,40,1,1,2.5,17.5,5,T-mis-1485, Sprint 4,F
M,1,40,1,1,2.5,17.5,5,T-mis-1486,Sprint 1,P
M,1,40,1,1,2.5,17.5,5,T-mis-1486, Sprint 2,F
M,1,40,1,1,2.5,17.5,5,T-mis-1486, Sprint 3,F
M,1,40,1,1,2.5,17.5,5,T-mis-1486, Sprint 4,F
M,1,40,2,3,1,21,15,T-mis-1487,Sprint 1,F
M,1,40,2,3,1,21,15,T-mis-1487, Sprint 2,P
M,1,40,2,3,1,21,15,T-mis-1487, Sprint 3,F
